"locale","status","label_key","json_file"
"ru","missing","success_title","main.json"
"ru","missing","amount_to_bridge","main.json"
"ru","missing","bridge_description_prefix","main.json"
"ru","missing","transaction_id","main.json"
"ru","missing","wrap_failed_message","main.json"
"ru","missing","having_trouble","main.json"
"ru","missing","max","main.json"
"ru","missing","processing_title","main.json"
"ru","missing","continue","main.json"
"ru","missing","bridge_description_suffix","main.json"
"ru","missing","wrapped","main.json"
"ru","missing","connect_wallet_title","main.json"
"ru","missing","eth_mainnet","main.json"
"ru","missing","tokens_received_title","main.json"
"ru","missing","retry","main.json"
"ru","missing","processing_subtext","main.json"
"ru","missing","please_connect_supported_network","main.json"
"ru","missing","unwrapping","main.json"
"ru","missing","layerzero_oft","main.json"
"ru","missing","connect_wallet_subtitle","main.json"
"ru","missing","bridge_title_prefix","main.json"
"ru","missing","close","main.json"
"ru","missing","destination_address","main.json"
"ru","missing","pending_title","main.json"
"ru","missing","tokens_received_subtext","main.json"
"ru","missing","success_wrapped","main.json"
"ru","missing","success_subtext","main.json"
"ru","missing","timeout_icon_alt","main.json"
"ru","missing","wallet_icon_alt","main.json"
"ru","missing","bridge_title_suffix_break","main.json"
"ru","missing","connect_wallet","main.json"
"ru","missing","unknown_transaction_status","main.json"
"ru","missing","switch_network","main.json"
"ru","missing","pending_subtext","main.json"
"ru","missing","view_faqs","main.json"
"ru","missing","conversion_complete","main.json"
"ru","missing","something_went_wrong","main.json"
"ru","missing","amount_to_receive","main.json"
"ru","missing","success_unwrapped","main.json"
"ru","missing","clock_icon_alt","main.json"
"ru","missing","transaction_details","main.json"
"ru","missing","wrapping","main.json"
"ru","missing","view_smart_contract_audit","main.json"
"ru","missing","done","main.json"
"ru","missing","timeout_title","main.json"
"ru","missing","start_bridging","main.json"
"ru","missing","unwrapped","main.json"
"ru","missing","bridge_one_way_notice","main.json"
"ru","missing","bridge_title_suffix_inline","main.json"
"ru","missing","xtm_token","main.json"
"ru","missing","click_to_switch","main.json"
"ru","missing","tick_icon_alt","main.json"
"ru","missing","see_faq","main.json"
"ru","missing","timeout_subtext","main.json"
"ru","missing","network_icon_alt","main.json"
"af","missing","success_title","main.json"
"af","missing","amount_to_bridge","main.json"
"af","missing","bridge_description_prefix","main.json"
"af","missing","transaction_id","main.json"
"af","missing","wrap_failed_message","main.json"
"af","missing","having_trouble","main.json"
"af","missing","max","main.json"
"af","missing","processing_title","main.json"
"af","missing","continue","main.json"
"af","missing","bridge_description_suffix","main.json"
"af","missing","wrapped","main.json"
"af","missing","connect_wallet_title","main.json"
"af","missing","eth_mainnet","main.json"
"af","missing","tokens_received_title","main.json"
"af","missing","retry","main.json"
"af","missing","processing_subtext","main.json"
"af","missing","please_connect_supported_network","main.json"
"af","missing","unwrapping","main.json"
"af","missing","layerzero_oft","main.json"
"af","missing","connect_wallet_subtitle","main.json"
"af","missing","bridge_title_prefix","main.json"
"af","missing","close","main.json"
"af","missing","destination_address","main.json"
"af","missing","pending_title","main.json"
"af","missing","tokens_received_subtext","main.json"
"af","missing","success_wrapped","main.json"
"af","missing","success_subtext","main.json"
"af","missing","timeout_icon_alt","main.json"
"af","missing","wallet_icon_alt","main.json"
"af","missing","bridge_title_suffix_break","main.json"
"af","missing","connect_wallet","main.json"
"af","missing","unknown_transaction_status","main.json"
"af","missing","switch_network","main.json"
"af","missing","pending_subtext","main.json"
"af","missing","view_faqs","main.json"
"af","missing","conversion_complete","main.json"
"af","missing","something_went_wrong","main.json"
"af","missing","amount_to_receive","main.json"
"af","missing","success_unwrapped","main.json"
"af","missing","clock_icon_alt","main.json"
"af","missing","transaction_details","main.json"
"af","missing","wrapping","main.json"
"af","missing","view_smart_contract_audit","main.json"
"af","missing","done","main.json"
"af","missing","timeout_title","main.json"
"af","missing","start_bridging","main.json"
"af","missing","unwrapped","main.json"
"af","missing","bridge_one_way_notice","main.json"
"af","missing","bridge_title_suffix_inline","main.json"
"af","missing","xtm_token","main.json"
"af","missing","click_to_switch","main.json"
"af","missing","tick_icon_alt","main.json"
"af","missing","see_faq","main.json"
"af","missing","timeout_subtext","main.json"
"af","missing","network_icon_alt","main.json"
"hi","missing","success_title","main.json"
"hi","missing","amount_to_bridge","main.json"
"hi","missing","bridge_description_prefix","main.json"
"hi","missing","transaction_id","main.json"
"hi","missing","wrap_failed_message","main.json"
"hi","missing","having_trouble","main.json"
"hi","missing","max","main.json"
"hi","missing","processing_title","main.json"
"hi","missing","continue","main.json"
"hi","missing","bridge_description_suffix","main.json"
"hi","missing","wrapped","main.json"
"hi","missing","connect_wallet_title","main.json"
"hi","missing","eth_mainnet","main.json"
"hi","missing","tokens_received_title","main.json"
"hi","missing","retry","main.json"
"hi","missing","processing_subtext","main.json"
"hi","missing","please_connect_supported_network","main.json"
"hi","missing","unwrapping","main.json"
"hi","missing","layerzero_oft","main.json"
"hi","missing","connect_wallet_subtitle","main.json"
"hi","missing","bridge_title_prefix","main.json"
"hi","missing","close","main.json"
"hi","missing","destination_address","main.json"
"hi","missing","pending_title","main.json"
"hi","missing","tokens_received_subtext","main.json"
"hi","missing","success_wrapped","main.json"
"hi","missing","success_subtext","main.json"
"hi","missing","timeout_icon_alt","main.json"
"hi","missing","wallet_icon_alt","main.json"
"hi","missing","bridge_title_suffix_break","main.json"
"hi","missing","connect_wallet","main.json"
"hi","missing","unknown_transaction_status","main.json"
"hi","missing","switch_network","main.json"
"hi","missing","pending_subtext","main.json"
"hi","missing","view_faqs","main.json"
"hi","missing","conversion_complete","main.json"
"hi","missing","something_went_wrong","main.json"
"hi","missing","amount_to_receive","main.json"
"hi","missing","success_unwrapped","main.json"
"hi","missing","clock_icon_alt","main.json"
"hi","missing","transaction_details","main.json"
"hi","missing","wrapping","main.json"
"hi","missing","view_smart_contract_audit","main.json"
"hi","missing","done","main.json"
"hi","missing","timeout_title","main.json"
"hi","missing","start_bridging","main.json"
"hi","missing","unwrapped","main.json"
"hi","missing","bridge_one_way_notice","main.json"
"hi","missing","bridge_title_suffix_inline","main.json"
"hi","missing","xtm_token","main.json"
"hi","missing","click_to_switch","main.json"
"hi","missing","tick_icon_alt","main.json"
"hi","missing","see_faq","main.json"
"hi","missing","timeout_subtext","main.json"
"hi","missing","network_icon_alt","main.json"
"de","missing","success_title","main.json"
"de","missing","amount_to_bridge","main.json"
"de","missing","bridge_description_prefix","main.json"
"de","missing","transaction_id","main.json"
"de","missing","wrap_failed_message","main.json"
"de","missing","having_trouble","main.json"
"de","missing","max","main.json"
"de","missing","processing_title","main.json"
"de","missing","continue","main.json"
"de","missing","bridge_description_suffix","main.json"
"de","missing","wrapped","main.json"
"de","missing","connect_wallet_title","main.json"
"de","missing","eth_mainnet","main.json"
"de","missing","tokens_received_title","main.json"
"de","missing","retry","main.json"
"de","missing","processing_subtext","main.json"
"de","missing","please_connect_supported_network","main.json"
"de","missing","unwrapping","main.json"
"de","missing","layerzero_oft","main.json"
"de","missing","connect_wallet_subtitle","main.json"
"de","missing","bridge_title_prefix","main.json"
"de","missing","close","main.json"
"de","missing","destination_address","main.json"
"de","missing","pending_title","main.json"
"de","missing","tokens_received_subtext","main.json"
"de","missing","success_wrapped","main.json"
"de","missing","success_subtext","main.json"
"de","missing","timeout_icon_alt","main.json"
"de","missing","wallet_icon_alt","main.json"
"de","missing","bridge_title_suffix_break","main.json"
"de","missing","connect_wallet","main.json"
"de","missing","unknown_transaction_status","main.json"
