"unused_key"
"connection-to-node-lost"
"mining-schedules-description"
"resources"
"copied"
"tribe-earnings"
"idle-timeout"
"tribe-pool-height"
"auto-miner"
"auto-miner-description"
"utilization"
"setup-scheduler"
"seed-words"
"mining-schedules"
